iter	MAE
0	49562.79705
1	48416.17201
2	47306.326
3	46251.46116
4	45178.43974
5	44150.88292
6	43144.41588
7	42217.46149
8	41462.40459
9	40606.01457
10	39759.19679
11	39034.35662
12	38232.98539
13	37526.69466
14	36847.215
15	36188.17781
16	35524.54154
17	34838.2532
18	34228.09436
19	33619.66291
20	33029.20123
21	32398.00419
22	31864.08994
23	31300.53365
24	30766.35294
25	30270.12304
26	29745.39766
27	29250.53631
28	28754.32769
29	28291.39916
30	27878.30657
31	27558.96939
32	27147.70771
33	26732.06602
34	26402.63963
35	26118.11824
36	25773.42232
37	25415.60318
38	25058.23587
39	24736.48567
40	24430.14337
41	24105.34937
42	23843.00385
43	23546.61893
44	23311.54928
45	23037.55628
46	22737.21946
47	22491.19543
48	22263.85103
49	22046.57445
50	21769.2813
51	21554.86805
52	21324.62232
53	21124.13548
54	20934.02739
55	20739.97548
56	20535.31495
57	20358.90799
58	20156.15317
59	19947.74036
60	19754.8423
61	19590.67932
62	19425.87939
63	19272.38297
64	19109.64332
65	18960.81917
66	18808.55416
67	18642.94474
68	18504.9919
69	18388.66097
70	18259.63638
71	18143.53948
72	18019.29014
73	17926.55217
74	17817.63636
75	17708.70762
76	17603.57289
77	17506.11942
78	17410.08531
79	17329.37241
80	17241.6328
81	17145.73065
82	17051.09399
83	16962.03381
84	16886.94335
85	16813.42308
86	16732.93481
87	16652.26261
88	16591.13304
89	16516.57304
90	16450.75156
91	16389.29432
92	16323.67056
93	16260.74277
94	16201.22499
95	16144.34095
96	16083.36684
97	16039.34276
98	15994.10682
99	15947.49776
100	15898.21744
101	15855.28561
102	15804.70015
103	15762.4792
104	15719.15956
105	15674.18118
106	15629.47186
107	15583.59971
108	15538.37724
109	15499.49379
110	15467.12527
111	15430.05839
112	15395.02683
113	15365.28566
114	15332.46766
115	15296.35302
116	15270.66393
117	15243.15782
118	15212.24896
119	15188.15613
120	15161.1719
121	15131.37549
122	15103.3972
123	15073.03598
124	15046.11465
125	15019.35841
126	14988.85153
127	14959.41316
128	14938.08294
129	14915.24142
130	14888.56978
131	14860.07934
132	14835.28475
133	14808.35134
134	14791.99515
135	14778.69659
136	14755.09937
137	14731.33051
138	14714.01742
139	14690.92958
140	14673.50871
141	14656.02969
142	14634.23071
143	14618.58875
144	14603.80759
145	14585.24912
146	14574.89125
147	14556.53551
148	14541.50738
149	14525.21529
150	14511.27105
151	14495.83116
152	14479.96706
153	14463.52307
154	14450.82394
155	14435.4977
156	14418.34446
157	14402.50504
158	14388.97767
159	14376.23349
160	14365.36835
161	14353.01086
162	14336.35684
163	14323.08541
164	14308.38994
165	14295.36834
166	14287.14925
167	14276.46478
168	14264.55819
169	14257.48894
170	14245.70527
171	14234.96706
172	14224.30929
173	14215.61125
174	14203.61548
175	14187.58126
176	14177.54311
177	14171.11351
178	14165.335
179	14153.47317
180	14146.62587
181	14137.11383
182	14127.58928
183	14122.39235
184	14110.20083
185	14099.90016
186	14085.45494
187	14078.95964
188	14068.4458
189	14060.83537
190	14047.45443
191	14033.14773
192	14021.14873
193	14010.6731
194	14001.42036
195	13994.64272
196	13986.45759
197	13975.35589
198	13968.1947
199	13960.78182
200	13950.35074
201	13943.42859
202	13939.07022
203	13928.73059
204	13919.64174
205	13909.79096
206	13902.02632
207	13896.47673
208	13891.88335
209	13884.20729
210	13878.24356
211	13871.16559
212	13862.2935
213	13853.40033
214	13844.82636
215	13837.3644
216	13828.65128
217	13825.61954
218	13817.27353
219	13808.39501
220	13803.25912
221	13794.47372
222	13787.52064
223	13781.44615
224	13776.14226
225	13772.19606
226	13763.66796
227	13757.93761
228	13749.75465
229	13742.83118
230	13733.23835
231	13728.38937
232	13719.09471
233	13710.74306
234	13701.46893
235	13695.70747
236	13687.66987
237	13681.47347
238	13677.28466
239	13669.25257
240	13656.77778
241	13651.7716
242	13641.18389
243	13630.61629
244	13623.74348
245	13618.11519
246	13612.1053
247	13604.93036
248	13600.54325
249	13591.47662
250	13584.35392
251	13575.81717
252	13562.6665
253	13559.62456
254	13554.57335
255	13543.05331
256	13539.84825
257	13537.32367
258	13526.52256
259	13518.28856
260	13509.62822
261	13498.588
262	13490.70273
263	13480.92077
264	13474.91689
265	13466.0325
266	13459.06188
267	13454.61575
268	13448.07514
269	13444.08711
270	13436.05527
271	13427.6249
272	13412.71142
273	13408.13673
274	13401.26268
275	13391.96615
276	13387.49291
277	13377.76036
278	13370.0031
279	13360.96375
280	13352.73339
281	13341.53706
282	13327.79426
283	13323.79791
284	13318.57025
285	13312.38309
286	13301.07347
287	13295.07225
288	13288.62377
289	13280.52552
290	13274.23578
291	13268.58244
