iter	Passed	Remaining
0	3	3309
1	5	2705
2	7	2478
3	11	2771
4	13	2664
5	15	2594
6	17	2522
7	20	2484
8	22	2486
9	24	2465
10	27	2434
11	29	2399
12	31	2371
13	33	2339
14	35	2318
15	37	2293
16	39	2269
17	41	2262
18	43	2251
19	45	2232
20	48	2256
21	50	2251
22	52	2233
23	55	2239
24	57	2243
25	59	2234
26	61	2224
27	63	2213
28	65	2204
29	67	2193
30	70	2193
31	72	2197
32	75	2199
33	77	2198
34	79	2195
35	81	2188
36	84	2186
37	86	2189
38	88	2191
39	90	2179
40	92	2171
41	95	2167
42	97	2163
43	99	2171
44	102	2170
45	104	2167
46	106	2161
47	108	2158
48	111	2164
49	113	2158
50	115	2150
51	117	2147
52	120	2147
53	122	2146
54	124	2141
55	126	2135
56	128	2131
57	130	2124
58	132	2120
59	135	2118
60	137	2110
61	138	2102
62	141	2097
63	142	2089
64	144	2084
65	147	2081
66	149	2078
67	151	2080
68	154	2078
69	156	2075
70	158	2072
71	160	2067
72	162	2060
73	164	2056
74	166	2057
75	168	2053
76	170	2047
77	173	2052
78	175	2049
79	178	2047
80	180	2045
81	182	2044
82	185	2044
83	187	2041
84	189	2040
85	191	2035
86	193	2032
87	195	2030
88	198	2028
89	200	2024
90	202	2022
91	204	2018
92	206	2016
93	208	2012
94	210	2010
95	213	2008
96	215	2007
97	217	2005
98	219	2001
99	222	1999
100	224	1995
101	226	1991
102	228	1989
103	230	1984
104	232	1979
105	234	1974
106	236	1973
107	238	1970
108	240	1967
109	243	1967
110	245	1964
111	247	1959
112	248	1953
113	250	1949
114	252	1945
115	254	1940
116	256	1935
117	258	1931
118	260	1928
119	262	1927
120	264	1924
121	267	1923
122	269	1922
123	271	1921
124	274	1920
125	276	1919
126	279	1918
127	280	1913
128	283	1911
129	285	1911
130	287	1909
131	290	1907
132	292	1905
133	294	1902
134	296	1900
135	298	1898
136	300	1894
137	302	1892
138	305	1891
139	307	1890
140	309	1888
141	311	1884
142	314	1882
143	316	1882
144	318	1879
145	321	1878
146	322	1873
147	325	1874
148	328	1876
149	330	1874
150	332	1870
151	334	1867
152	336	1864
153	339	1864
154	341	1862
155	343	1859
156	346	1858
157	348	1856
158	350	1855
159	353	1853
160	355	1850
161	357	1846
162	358	1843
163	360	1839
164	363	1837
165	365	1834
166	367	1830
167	369	1829
168	371	1826
169	373	1824
170	375	1822
171	378	1820
172	380	1818
173	382	1817
174	385	1816
175	387	1813
176	389	1810
177	391	1808
178	393	1806
179	396	1804
180	398	1801
181	400	1801
182	402	1798
183	405	1796
184	407	1794
185	409	1791
186	411	1787
187	413	1784
188	415	1781
189	417	1779
190	419	1777
191	422	1776
192	424	1774
193	426	1773
194	429	1771
195	431	1770
196	434	1769
197	436	1767
198	438	1764
199	440	1763
200	443	1761
201	445	1759
202	447	1758
203	450	1755
204	452	1753
205	454	1751
206	456	1749
207	458	1747
208	460	1744
209	463	1744
210	465	1741
211	468	1740
212	470	1737
213	472	1735
214	474	1732
215	476	1730
216	478	1728
217	481	1726
218	483	1723
219	485	1722
220	487	1719
221	489	1716
222	491	1714
223	494	1712
224	496	1710
225	499	1709
226	501	1706
227	503	1704
228	505	1702
229	508	1700
230	510	1698
231	512	1696
232	514	1694
233	517	1693
234	519	1691
235	521	1689
236	524	1688
237	527	1688
238	529	1685
239	531	1683
240	533	1680
241	535	1677
242	537	1674
243	539	1672
244	541	1669
245	543	1666
246	545	1663
247	547	1660
248	549	1658
249	551	1655
250	553	1652
251	555	1650
252	558	1648
253	560	1646
254	562	1644
255	565	1643
256	567	1641
257	569	1638
258	572	1637
259	574	1635
260	576	1633
261	578	1630
262	581	1628
263	583	1626
264	585	1623
265	587	1621
266	590	1620
267	592	1617
268	594	1615
269	596	1612
270	598	1609
271	600	1607
272	602	1605
273	605	1603
274	607	1601
275	609	1599
276	612	1597
277	614	1594
278	616	1592
279	618	1590
280	620	1588
281	622	1585
282	624	1583
283	626	1580
284	629	1578
285	630	1575
286	633	1572
287	635	1572
288	638	1569
289	640	1567
290	642	1565
291	644	1563
292	646	1561
293	649	1559
294	651	1557
295	654	1555
296	656	1552
297	657	1549
298	659	1546
299	661	1543
300	663	1540
301	665	1539
302	668	1537
303	670	1534
304	672	1532
305	674	1529
306	676	1527
307	679	1525
308	681	1524
309	684	1522
310	686	1520
311	688	1518
312	690	1516
313	693	1514
314	695	1512
315	698	1510
316	700	1509
317	702	1506
318	705	1506
319	708	1505
320	711	1504
321	713	1502
322	715	1500
323	718	1498
324	720	1496
325	722	1494
326	725	1492
327	727	1490
328	729	1487
329	731	1485
330	734	1483
331	736	1481
332	738	1479
333	740	1477
334	743	1475
335	745	1472
336	747	1470
337	749	1468
338	752	1466
339	754	1464
340	756	1461
341	759	1460
342	761	1458
343	763	1455
344	765	1453
345	767	1450
346	769	1448
347	771	1445
348	773	1443
349	775	1441
350	777	1438
351	779	1435
352	781	1433
353	783	1430
354	785	1427
355	787	1424
356	790	1422
357	791	1420
358	794	1417
359	796	1415
360	798	1413
361	800	1410
362	802	1407
363	804	1405
364	806	1403
365	808	1401
366	811	1398
367	812	1395
368	814	1393
369	817	1391
370	819	1388
371	821	1386
372	823	1384
373	826	1382
374	828	1380
375	830	1378
376	832	1375
377	834	1373
378	837	1371
379	839	1369
380	841	1367
381	843	1364
382	845	1362
383	847	1360
384	849	1357
385	852	1355
386	854	1353
387	856	1350
388	858	1348
389	860	1345
390	862	1343
391	864	1340
392	866	1338
393	868	1336
394	871	1334
395	873	1331
396	875	1329
397	877	1327
398	879	1325
399	882	1323
400	884	1321
401	886	1319
402	888	1316
403	891	1314
404	893	1312
405	895	1309
406	897	1307
407	899	1305
408	901	1302
409	903	1300
410	906	1298
411	908	1296
412	910	1293
413	912	1291
414	914	1288
415	916	1286
416	918	1283
417	920	1281
418	921	1278
419	923	1275
420	926	1273
421	927	1270
422	930	1268
423	932	1266
424	934	1264
425	936	1261
426	938	1259
427	940	1256
428	942	1254
429	944	1251
430	947	1250
431	949	1247
432	950	1245
433	953	1242
434	955	1240
435	957	1238
436	959	1235
437	961	1233
438	963	1231
439	965	1228
440	967	1226
441	969	1223
442	971	1221
443	973	1218
444	975	1216
445	978	1214
446	980	1212
447	982	1210
448	984	1207
449	986	1205
450	988	1202
451	990	1200
452	992	1198
453	994	1195
454	996	1193
455	998	1190
456	1000	1188
457	1002	1185
458	1003	1183
459	1005	1180
460	1007	1178
461	1010	1176
462	1012	1174
463	1014	1171
464	1015	1168
465	1017	1166
466	1019	1164
467	1021	1161
468	1024	1159
469	1026	1157
470	1029	1155
471	1031	1153
472	1033	1151
473	1035	1148
474	1037	1146
475	1039	1144
476	1042	1142
477	1045	1141
478	1047	1139
479	1049	1136
480	1051	1134
481	1053	1132
482	1056	1130
483	1058	1128
484	1061	1126
485	1063	1124
486	1065	1122
487	1067	1119
488	1069	1117
489	1073	1117
490	1078	1117
491	1080	1115
492	1083	1113
493	1086	1112
494	1096	1119
495	1150	1169
496	1161	1175
497	1163	1173
498	1165	1170
499	1167	1167
500	1170	1165
501	1172	1163
502	1175	1161
503	1177	1159
504	1180	1156
505	1182	1154
506	1184	1152
507	1187	1149
508	1189	1147
509	1191	1144
510	1193	1142
511	1195	1139
512	1197	1137
513	1200	1134
514	1201	1131
515	1203	1129
516	1206	1126
517	1208	1124
518	1210	1121
519	1212	1119
520	1214	1116
521	1216	1114
522	1218	1111
523	1220	1109
524	1222	1106
525	1224	1103
526	1226	1101
527	1229	1098
528	1231	1096
529	1233	1094
530	1235	1091
531	1237	1088
532	1239	1086
533	1241	1083
534	1243	1080
535	1245	1078
536	1248	1076
537	1250	1073
538	1252	1070
539	1254	1068
540	1256	1065
541	1258	1063
542	1260	1061
543	1263	1058
544	1265	1056
545	1267	1053
546	1269	1051
547	1271	1048
548	1273	1046
549	1275	1043
550	1277	1041
551	1279	1038
552	1281	1036
553	1283	1033
554	1285	1031
555	1288	1028
556	1290	1026
557	1292	1023
558	1294	1021
559	1296	1018
560	1298	1016
561	1300	1013
562	1302	1011
563	1305	1008
564	1307	1006
565	1309	1004
566	1311	1001
567	1313	999
568	1315	996
569	1317	994
570	1319	991
571	1321	989
572	1323	986
573	1325	984
574	1327	981
575	1329	978
576	1331	976
577	1333	973
578	1335	971
579	1338	968
580	1340	966
581	1342	964
582	1344	961
583	1346	958
584	1347	956
585	1349	953
586	1351	951
587	1353	948
588	1355	946
589	1357	943
590	1359	941
591	1361	938
592	1363	935
593	1365	933
594	1367	930
595	1369	928
596	1371	926
597	1374	923
598	1376	921
599	1378	918
600	1380	916
601	1382	913
602	1384	911
603	1386	909
604	1389	907
605	1391	904
606	1393	901
607	1395	899
608	1397	897
609	1399	894
610	1401	892
611	1403	890
612	1405	887
613	1408	885
614	1410	883
615	1412	880
616	1414	878
617	1416	875
618	1419	873
619	1421	871
620	1423	868
621	1425	866
622	1427	863
623	1429	861
624	1431	858
625	1433	856
626	1436	854
627	1437	851
628	1439	849
629	1441	846
630	1443	844
631	1445	841
632	1447	839
633	1449	836
634	1451	834
635	1453	831
636	1455	829
637	1457	827
638	1459	824
639	1461	822
640	1464	819
641	1466	817
642	1468	815
643	1470	812
644	1472	810
645	1474	808
646	1477	805
647	1479	803
648	1481	801
